TV_Ad_Spend_EUR,Digital_Ad_Spend_EUR,Print_Ad_Spend_EUR,Price_Discount_Percent,Store_Visits,TargetSales_Flag
284658.2905,135559.5526,36004.4834,1.074174049,5231.575136,0
128732.9473,127010.2145,193912.7247,7.017386354,6870.64829,0
106203.5524,25459.82771,123787.8731,11.89543051,6695.299765,0
229499.6123,266945.5844,36932.1245,4.575947431,8858.916578,1
293398.2085,207796.8312,161809.8982,19.39023669,3244.275457,1
180780.4548,236803.3684,32527.42121,22.57615365,1832.309625,1
392690.3954,204730.4837,57828.06781,5.29649084,1018.712174,0
280235.3007,112755.0456,114775.2205,18.67910912,4852.081796,1
202754.1226,159436.2546,34685.63179,6.540533924,5459.951484,0
169004.6569,51692.4045,21920.89167,8.680997421,14555.0402,0
150407.6461,61060.93061,137635.5991,6.556535202,4045.78909,0
297038.8888,107359.546,13110.271,5.294688723,8626.740834,0
186657.453,198450.1665,73361.59574,6.976551414,13161.05124,1
42677.60071,185884.5019,52876.17996,9.081089055,11344.09325,0
171256.817,235949.1431,187445.5175,4.714014124,1828.409828,0
300438.2542,166664.79,117927.7405,21.5563903,6216.849378,0
89346.85757,207566.2134,18498.83026,1.314020105,10312.41397,0
86671.66734,27506.87792,84864.6857,16.70444466,1086.948789,0
221989.5221,280989.9025,77897.84763,11.50576744,14345.93765,1
222094.4831,256163.3109,33351.49284,13.58362626,4239.018859,0
261072.3642,281935.1744,147948.1982,22.46364881,7818.43596,1
342784.0817,64483.13484,41500.1908,4.554107841,1997.277686,0
295293.0234,56602.40116,170347.2252,6.529769813,3110.610544,0
252188.9341,168969.5671,187897.1895,10.15798166,5819.467163,1
294528.4854,254034.7786,22047.95544,5.78776226,2562.193438,0
142724.3873,225437.7576,133801.9839,19.90853322,4377.894807,0
157479.6891,88708.28248,127138.8481,4.334911288,7877.310283,0
106740.0277,150446.0375,104910.7974,14.25323181,8988.913864,1
131611.3376,82077.54536,129197.7209,1.282899543,12667.29553,0
259770.9271,175805.6129,181377.4371,2.089070588,4522.851036,0
54999.87718,176746.7062,152510.0443,0.296528288,11981.11503,0
